"","...1","ID","net_inc_percap2019","net_inc2019","plr","year","Nom","udc","pdc","ps","pes","pvl","pbd","pev_pcs","perc","dec","taux_participation"
"2021",2021,6644,34905,468,16.6,2019,"Versoix",14,8.5,12.9,29.9,4.6,0.4,0.5,51,6,37.3
"2022",2022,5890,30529,605,16.4,2019,"Vevey",10.8,2.9,22.6,24.7,7.7,0.3,0.9,24,3,38.9
"2023",2023,6089,34751,63,19.1,2019,"Vex",16.2,33.2,17.6,9,1.2,NA,0.9,50,5,58.8
"2024",2024,6250,33664,62,37.9,2019,"Veyras",10.8,20.7,16.8,11.3,0.2,NA,1,43,5,70.2
"2025",2025,6645,60015,713,28.5,2019,"Veyrier",12.7,10.4,8.7,21.7,8.4,0.4,0.6,96,10,46.4
"2026",2026,6267,37383,22,10.9,2019,"Veysonnaz",6.4,34.9,27.8,14.3,0.6,NA,4.1,64,7,61.8
"2027",2027,5891,37918,35,35,2019,"Veytaux",11.4,3.9,14.5,17.4,9,0,1.5,67,7,38.1
"2028",2028,5231,37163,70,27.9,2019,"Vezia",14.8,12.7,10.2,10.9,1.5,NA,NA,63,7,52.5
"2029",2029,5732,55408,60,21.7,2019,"Vich",15.3,4.8,19.5,16.7,13.9,0.2,0.7,94,10,35.7
"2030",2030,5233,74794,32,29.1,2019,"Vico Morcote",11.4,9.6,10.3,15.3,2.4,NA,NA,99,10,50.9
"2031",2031,5935,57268,6,6,2019,"Villars-Epeney",31.7,0.3,10.4,10.1,20,2.6,15.8,95,10,60.6
"2032",2032,5651,46285,45,23.7,2019,"Villars-Sainte-Croix",29.4,0.4,18.6,14,6.1,0.2,0,88,9,44.1
"2033",2033,5690,38964,5,24.6,2019,"Villars-le-Comte",33.3,2.5,18.8,10.3,4.5,1,3.4,71,8,46.5
"2034",2034,5537,37853,46,21.7,2019,"Villars-le-Terroir",26.7,9.2,10.8,18,8.5,0.8,0.8,66,7,42.5
"2035",2035,5652,46585,28,16.8,2019,"Villars-sous-Yens",24,4,14.5,20.9,11.1,0.3,1.4,88,9,49.4
"2036",2036,2228,38127,466,14.3,2019,"Villars-sur-Glâne",9.3,18.4,25.3,18.9,6.5,0.4,4.1,67,7,47.7
"2037",2037,2230,41219,3,14,2019,"Villarsel-sur-Marly",31.5,21.5,2.5,22,8.5,0,0,78,8,61.7
"2038",2038,5830,30121,14,24,2019,"Villarzel",32.7,1.5,15.6,16.2,3,0.7,0.4,21,3,42.2
"2039",2039,2111,30350,40,18,2019,"Villaz-Saint-Pierre",25.5,13.4,22.6,10.2,3.2,0.2,2.9,23,3,45.8
"2040",2040,5414,26958,155,28.6,2019,"Villeneuve (VD)",20.4,2.7,21.3,14.6,5.2,0.2,1,8,1,36.1
"2041",2041,448,32857,30,6.9,2019,"Villeret",35.2,2.4,15.7,20.6,6.9,2.5,3.6,38,4,36.3
"2042",2042,4121,36717,79,13.3,2019,"Villigen",38.5,8.5,11.3,9.4,7.7,5.1,3.3,61,7,48.2
"2043",2043,4080,32893,246,13.6,2019,"Villmergen",41.7,12,12.1,5.6,5.6,3.2,2.6,38,4,37.5
"2044",2044,4122,34769,57,15.7,2019,"Villnachern",33,8.2,12.2,9.9,6.2,5.1,5.1,50,5,47
"2045",2045,2114,30284,45,18.2,2019,"Villorsonnens",32.1,14.2,16,10,4.1,0.7,2,22,3,40.8
"2046",2046,3297,31053,152,15,2019,"Vilters-Wangs",35.1,21.9,8.7,6.6,9.5,0.8,0.6,27,3,46.2
"2047",2047,502,36917,32,8.9,2019,"Vinelz",30.7,0.9,12.7,15.7,9.4,13.3,2.4,62,7,47.7
"2048",2048,5863,50204,18,23.4,2019,"Vinzel",18.4,3.9,19.7,19.7,6,0.2,1.7,91,10,45.3
"2049",2049,6158,33687,92,24.1,2019,"Vionnaz",21.7,24,13.8,13.6,0.6,NA,0.8,43,5,44.8
"2050",2050,6297,33159,265,3.3,2019,"Visp",29,51.8,8.7,5.1,1.9,NA,0.1,40,4,54.7
"2051",2051,6298,33402,45,0.6,2019,"Visperterminen",18.3,58.7,15.7,5.3,1.4,NA,0.1,41,5,68
"2052",2052,1068,47758,67,23.1,2019,"Vitznau",28.7,19.5,10.9,9.9,5.6,NA,1.3,89,9,47.4
"2053",2053,5135,30019,8,15.9,2019,"Vogorno",11.7,17.3,16.6,17.2,1,NA,NA,20,3,42.7
"2054",2054,43,42098,16,11.9,2019,"Volken",50,0.8,5.8,8.5,11.2,0.3,7.5,80,8,53.7
"2055",2055,199,39946,745,11.1,2019,"Volketswil",42.4,5.7,10.6,7.5,12.5,5.5,1.8,74,8,37.5
"2056",2056,6036,28619,58,15.2,2019,"Vollèges",10.1,39.6,15.6,16.2,0.3,NA,1.7,14,2,52.4
"2057",2057,4287,34677,69,11.5,2019,"Vordemwald",39,4.2,13.9,12.2,6.4,2.7,6.9,49,5,44.9
"2058",2058,1348,31882,32,15.7,2019,"Vorderthal",65.9,10.3,6,0.8,0.6,NA,0.7,32,4,39.4
"2059",2059,6159,29483,126,36,2019,"Vouvry",19.4,12.8,14.1,15,0.7,NA,1.3,18,2,41.8
"2060",2060,2160,32839,80,22.8,2019,"Vuadens",19.6,22.6,21.1,7.3,2.6,0.2,2.1,37,4,43.3
"2061",2061,5539,33572,35,23.4,2019,"Vuarrens",36.8,0.4,12.3,12.7,8.7,0.8,1.2,43,5,40.5
"2062",2062,5692,37122,21,24.1,2019,"Vucherens",22.3,3,17.3,19.5,6.3,0.2,0.8,63,7,51.1
"2063",2063,5503,50084,65,23.8,2019,"Vufflens-la-Ville",14.9,3.9,18.1,23.3,8.2,0.1,1.3,91,10,47.8
"2064",2064,5653,60983,54,36.3,2019,"Vufflens-le-Château",14.1,1.8,15.6,15.5,12.5,0.2,0.4,96,10,54.7
"2065",2065,5937,29112,4,11.9,2019,"Vugelles-La Mothe",38.9,0.6,12.5,21.5,12.1,0.2,0,16,2,38.2
"2066",2066,2113,30437,71,15,2019,"Vuisternens-devant-Romont",31.4,23.6,13.5,7.8,3.3,0.2,2.4,23,3,43.3
"2067",2067,5766,32354,19,21.5,2019,"Vuiteboeuf",24.8,1.3,16.9,19.6,4.2,1,4.8,35,4,38.5
"2068",2068,5803,36246,22,25.2,2019,"Vulliens",27.4,1.3,12.8,16.5,6.7,0.5,1.7,58,6,51.1
"2069",2069,5654,42646,22,23.5,2019,"Vullierens",26.4,0.9,18.6,14.3,11.2,0.5,1.5,82,9,51.5
"2070",2070,5464,38346,126,29.2,2019,"Vully-les-Lacs",24.2,2.2,16.6,12.2,8.6,0.8,1.6,68,7,37.3
"2071",2071,6220,30486,24,18.3,2019,"Vérossaz",13.8,37.7,14.6,10.9,1.6,NA,2.2,23,3,60.4
"2072",2072,6025,28738,184,23.5,2019,"Vétroz",16.8,28.6,16.4,10.5,0.4,NA,1.1,14,2,50.7
"2073",2073,946,22103,5,0.3,2019,"Wachseldorn",76.2,0.1,6.3,1.3,1.2,4.1,5.1,2,1,52.5
"2074",2074,4871,34593,59,9,2019,"Wagenhausen",50.2,5,10,12.5,7.2,2.2,2.2,48,5,45.5
"2075",2075,2792,34864,51,12.3,2019,"Wahlen",41.6,17.1,13.1,11.1,3.2,0.3,1.2,50,6,36.6
"2076",2076,1710,96788,359,14.6,2019,"Walchwil",35.2,24.8,9.5,10.3,5.3,NA,0.3,100,10,60.1
"2077",2077,3036,30694,27,44.9,2019,"Wald (AR)",53.5,NA,NA,NA,NA,NA,NA,25,3,38.7
"2078",2078,888,35380,42,4.9,2019,"Wald (BE)",37.2,0.9,10.5,11.7,7.9,10.8,3.6,54,6,52.5
"2079",2079,120,31275,316,10.2,2019,"Wald (ZH)",35.7,4.7,13,14.4,11.3,1.6,3.6,28,3,41.1
"2080",2080,2895,32576,36,13.8,2019,"Waldenburg",41.9,4.1,12.6,18.5,4,0.5,4.5,36,4,36.5
"2081",2081,3444,32582,115,17.7,2019,"Waldkirch",40.1,23,4.5,5.4,5.5,0.6,0.8,36,4,51.2
"2082",2082,3007,31886,58,35.5,2019,"Waldstatt",63.3,NA,NA,NA,NA,NA,NA,32,4,50.1
"2083",2083,3298,34087,194,13.4,2019,"Walenstadt",31.6,23.3,11,8.2,8.5,1.5,1,45,5,40.5
"2084",2084,626,28074,50,2.7,2019,"Walkringen",54.2,0.5,10.2,8.4,6.5,9.3,2.6,12,2,47.2
"2085",2085,4261,49540,98,7.9,2019,"Wallbach",38.4,17,13,9.4,8.7,1.4,0.7,91,10,43.6
"2086",2086,69,46087,776,16.6,2019,"Wallisellen",30.3,4.8,15.1,10.1,14.8,1.8,2.7,87,9,38.5
"2087",2087,990,36427,8,7.1,2019,"Walliswil bei Niederbipp",45.1,1.6,20.1,3.4,6.5,1.1,5.3,59,6,46.3
